Episode,Env_Step,Reward,Avg_Reward,Loss,Epsilon
0,6000,-1148.1636552442687,-1148.1636552442687,0.051070697605609894,0.9979272484779358
1,12000,-243.60461011412735,-695.884132679198,0.004260499321865306,0.9958545565605164
2,18000,-343.5258200068183,-578.4313617884048,0.0043730270928742055,0.9937818050384521
3,24000,-310.67912258514116,-511.4933019875889,0.0059307553106918934,0.9917091131210327
4,30000,-379.1305046665684,-485.0207425233848,0.007592339651988974,0.9896363615989685
5,36000,-309.94914985224386,-455.8421437448613,0.00760866770739085,0.9875636100769043
6,42000,-363.78727531805634,-442.69144825531777,0.008077193909334406,0.9854909181594849
7,48000,-290.8205529514744,-423.7075863423373,0.008728370994639894,0.9834181666374207
8,54000,-311.9424343701112,-411.2892361232011,0.008723223433053743,0.9813454747200012
9,60000,-362.93431370707003,-406.45374388158797,0.01055153147263142,0.979272723197937
10,66000,-270.1420404837181,-318.6515824055329,0.012059667244184917,0.9771999716758728
11,72000,-270.9573175173573,-321.3868531458559,0.012875298859473938,0.9751272797584534
12,78000,-324.6003636089972,-319.4943075060738,0.014213818309809237,0.9730545282363892
13,84000,-302.09286146333216,-318.6356813938929,0.014803825360082555,0.9709818363189697
14,90000,-256.31481363350395,-306.35411229058644,0.015572167405140742,0.9689090847969055
15,96000,-275.10123601899977,-302.869320907262,0.01694614590353255,0.9668363928794861
16,102000,-477.1374391933809,-314.2043372947945,0.01719442251654497,0.9647636413574219
17,108000,-323.31506405882465,-317.4537884055295,0.018794064578192774,0.9626908898353577
18,114000,-304.6855018282222,-316.72809515134065,0.020327428020032432,0.9606181979179382
19,120000,-364.82605108642747,-316.9172688892764,0.02077741613854111,0.958545446395874
20,126000,-217.47600830111332,-311.6506656710159,0.021106718747100482,0.9564727544784546
21,132000,-269.58603182048137,-311.5135371013283,0.022476409455179237,0.9544000029563904
22,138000,-284.0731307105531,-307.4608138114839,0.023870412228124527,0.9523272514343262
23,144000,-333.2424357943419,-310.57577124458487,0.023968111027400787,0.9502545595169067
24,150000,-303.6723487405234,-315.31152475528677,0.027018294468328045,0.9481818079948425
25,156000,-258.55360665746684,-313.6567618191335,0.029626487592312817,0.9461091160774231
26,162000,-443.9427643813806,-310.3372943379335,0.02987939216326534,0.9440363645553589
27,168000,-413.01074191948646,-319.3068621239996,0.03115535867544046,0.9419636130332947
